accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,NumYearsOfUser,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode
141737.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,9.0,27.0,WillNot_Churn,112.0,2019-01-29,2021-06-21,1.0,1.0,1.0,1.0,0.0,881.0,3029.0,382603.5000000001,6,PR
22289.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-08-26,2020-08-26,-1.0,3.0,1.0,0.0,0.0,306.0,3.0,669.23,8,CA
22688.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-06-08,2020-06-08,-1.0,3.0,1.0,0.0,0.0,385.0,2.0,1524.0,9,CA
141625.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,44.0,132.0,Will_Churn,5.0,2019-04-09,2019-09-18,1.0,3.0,1.0,0.0,0.0,811.0,130.0,13477.0,5,PR
141639.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-01-28,2019-01-28,-1.0,3.0,1.0,0.0,0.0,882.0,2.0,1680.0,11,PR
141705.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-03-15,2021-03-15,-1.0,3.0,0.0,0.0,1.0,105.0,2.0,305.1,9,PR
141727.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,18.0,54.0,Will_Churn,32.0,2019-03-13,2021-05-04,1.0,1.0,1.0,1.0,0.0,838.0,120.0,61419.479999999996,5,PR
141849.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,18.0,54.0,WillNot_Churn,24.0,2019-02-01,2021-05-20,1.0,1.0,1.0,1.0,0.0,878.0,122.0,67015.5,6,PR
141618.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,61.0,183.0,Will_Churn,12.0,2019-02-22,2020-12-01,1.0,2.0,1.0,0.0,0.0,857.0,154.0,11331.900000000001,6,PR
22494.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,126.0,378.0,Will_Churn,2.0,2019-05-08,2019-09-11,1.0,3.0,1.0,0.0,1.0,782.0,7.0,1390.76,9,CA
141691.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,16.0,48.0,WillNot_Churn,52.0,2019-01-29,2021-06-10,1.0,1.0,1.0,0.0,0.0,881.0,1624.0,228200.03999999995,6,PR
141765.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,42.0,126.0,WillNot_Churn,24.0,2019-01-21,2021-04-30,1.0,1.0,1.0,0.0,0.0,889.0,411.0,121874.0,6,PR
141747.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,12.0,36.0,WillNot_Churn,64.0,2019-01-29,2021-06-02,1.0,1.0,1.0,1.0,0.0,881.0,1335.0,192877.38,6,PR
141649.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,184.0,552.0,Will_Churn,2.0,2019-02-05,2019-08-08,2.0,3.0,1.0,0.0,0.0,874.0,3.0,557.52,11,PR
141775.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,14.0,42.0,Will_Churn,57.0,2019-01-17,2021-05-07,1.0,1.0,1.0,1.0,0.0,893.0,389.0,150973.00999999998,6,PR
143950.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,29.0,87.0,WillNot_Churn,24.0,2019-01-22,2021-05-18,1.0,1.0,1.0,1.0,1.0,888.0,67.0,40366.36,6,US
22450.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-08-20,2020-08-20,-1.0,3.0,1.0,0.0,0.0,312.0,1.0,223.08,9,CA
141685.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,49.0,147.0,WillNot_Churn,9.0,2019-07-31,2021-06-04,1.0,1.0,0.0,1.0,0.0,698.0,176.0,37392.28,5,PR
141683.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,431.0,1293.0,WillNot_Churn,2.0,2020-04-02,2021-06-07,4.0,2.0,1.0,0.0,1.0,452.0,3.0,2359.0,8,PR
141827.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,7.0,21.0,WillNot_Churn,109.0,2019-01-09,2021-06-17,1.0,1.0,1.0,1.0,0.0,901.0,473.0,227618.91999999998,6,PR
141677.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-09-10,2019-09-10,-1.0,3.0,1.0,0.0,0.0,657.0,75.0,18865.9,4,PR
143965.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,18.0,54.0,WillNot_Churn,25.0,2019-02-11,2021-05-18,1.0,1.0,0.0,1.0,0.0,868.0,239.0,25935.410000000003,6,US
141745.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-12-29,2020-12-29,-1.0,3.0,0.0,1.0,0.0,181.0,1.0,810.57,8,PR
141693.0,0.0,1.0,1.0,0.0,Will_Churn,WillNot_Churn,225.0,675.0,WillNot_Churn,2.0,2019-12-04,2020-07-16,3.0,2.0,1.0,0.0,0.0,572.0,2.0,1890.0,9,PR
144046.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,6.0,18.0,Will_Churn,127.0,2019-01-04,2021-04-15,1.0,1.0,1.0,1.0,0.0,906.0,296.0,135355.19999999992,6,US
144104.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,52.0,156.0,Will_Churn,10.0,2019-04-02,2020-08-19,1.0,2.0,1.0,0.0,1.0,818.0,20.0,9217.7,7,US
141695.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,118.0,354.0,Will_Churn,3.0,2019-06-21,2020-02-13,3.0,2.0,1.0,0.0,0.0,738.0,10.0,4852.25,7,PR
144062.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,11.0,33.0,Will_Churn,56.0,2019-01-10,2021-05-21,1.0,1.0,1.0,1.0,1.0,900.0,226.0,58717.13999999999,6,US
144245.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,3.0,9.0,Will_Churn,261.0,2019-01-03,2021-06-11,1.0,1.0,1.0,0.0,0.0,907.0,1329.0,331334.3799999999,6,US
144201.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,23.0,69.0,Will_Churn,14.0,2019-03-07,2021-02-23,1.0,1.0,1.0,0.0,0.0,844.0,36.0,22392.75,5,US
143968.0,0.0,0.0,1.0,0.0,Will_Churn,Will_Churn,41.0,123.0,Will_Churn,2.0,2020-04-21,2020-06-01,-1.0,3.0,1.0,1.0,0.0,433.0,2.0,586.04,10,US
144088.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-01-22,2020-01-22,-1.0,3.0,0.0,0.0,1.0,523.0,5.0,345.6,9,US
144257.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-02-19,2019-02-19,-1.0,3.0,1.0,0.0,0.0,860.0,1.0,728.0,12,US
143999.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,67.0,201.0,WillNot_Churn,5.0,2019-05-15,2021-01-06,2.0,1.0,1.0,0.0,0.0,775.0,9.0,9357.0,7,US
144091.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-12-03,2020-12-03,-1.0,3.0,1.0,0.0,0.0,207.0,2.0,1727.1,8,US
144331.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,35.0,105.0,WillNot_Churn,21.0,2019-04-04,2021-04-30,1.0,1.0,1.0,0.0,0.0,816.0,690.0,93723.40999999999,5,US
144612.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,1.0,3.0,Will_Churn,707.0,2019-01-09,2021-06-21,1.0,1.0,1.0,1.0,0.0,901.0,2602.0,1829364.1400000001,6,US
144043.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,182.0,546.0,WillNot_Churn,2.0,2020-12-14,2021-06-14,2.0,2.0,0.0,1.0,0.0,196.0,5.0,2928.49,6,US
144134.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,46.0,138.0,WillNot_Churn,15.0,2019-01-28,2021-03-17,1.0,1.0,1.0,1.0,0.0,882.0,104.0,31201.09,6,US
144334.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,7.0,21.0,WillNot_Churn,113.0,2019-01-14,2021-06-17,1.0,1.0,1.0,1.0,1.0,896.0,921.0,142002.36999999997,6,US
144070.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,60.0,180.0,WillNot_Churn,16.0,2019-01-21,2021-05-07,1.0,1.0,1.0,0.0,1.0,889.0,155.0,32062.0,6,US
144154.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-05-31,2019-05-31,-1.0,3.0,1.0,0.0,0.0,759.0,3.0,1161.0,9,US
144000.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,45.0,135.0,Will_Churn,5.0,2019-05-15,2020-09-17,2.0,2.0,1.0,0.0,0.0,775.0,10.0,7885.0,7,US
144099.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,29.0,87.0,Will_Churn,11.0,2019-06-04,2020-12-18,1.0,2.0,1.0,0.0,1.0,755.0,48.0,14308.5,5,US
144439.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,27.0,81.0,WillNot_Churn,19.0,2019-01-11,2021-04-12,1.0,1.0,1.0,0.0,1.0,899.0,204.0,35807.0,6,US
144460.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,36.0,108.0,Will_Churn,13.0,2019-01-28,2020-12-23,1.0,2.0,1.0,1.0,0.0,882.0,32.0,17329.18,6,US
143978.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-09-22,2020-09-22,-1.0,3.0,1.0,0.0,0.0,279.0,1.0,793.52,9,US
144197.0,0.0,1.0,1.0,0.0,Will_Churn,WillNot_Churn,300.0,900.0,WillNot_Churn,3.0,2019-02-06,2020-09-29,6.0,2.0,1.0,0.0,0.0,873.0,16.0,5791.0,8,US
144279.0,0.0,1.0,1.0,0.0,Will_Churn,WillNot_Churn,132.0,396.0,WillNot_Churn,5.0,2019-03-26,2020-08-06,2.0,2.0,1.0,0.0,1.0,825.0,12.0,4870.0,7,US
144273.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-03-25,2021-03-25,-1.0,3.0,1.0,0.0,0.0,95.0,3.0,442.53,8,US
144704.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,60.0,180.0,WillNot_Churn,13.0,2019-01-09,2021-03-22,1.0,1.0,1.0,0.0,1.0,901.0,38.0,13796.7,6,US
144349.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-05-08,2020-05-08,-1.0,3.0,1.0,0.0,0.0,416.0,1.0,320.0,10,US
144112.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,239.0,717.0,WillNot_Churn,3.0,2019-10-25,2021-02-15,2.0,1.0,1.0,0.0,0.0,612.0,480.0,32102.0,4,US
144775.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,4.0,12.0,WillNot_Churn,294.0,2019-01-04,2021-06-18,1.0,1.0,1.0,0.0,0.0,906.0,998.0,423890.0799999997,6,US
144114.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,108.0,324.0,Will_Churn,4.0,2019-05-21,2019-12-24,2.0,3.0,1.0,0.0,0.0,769.0,4.0,2985.0,8,US
